20141211131514.log 214.415 12.2749
20141211133515.log 218.668 10.2355
20141212080722.log 142.826 10.9146
20141212081723.log 144.931 11.9107
20141212083724.log 149.271 13.7601
20141212084725.log 151.457 14.59
20141212085726.log 153.725 15.3808
20141212090726.log 155.975 16.0952
20141212091727.log 158.268 16.7531
20141212092727.log 160.618 17.3551
20141213120219.log 197.769 17.6474
20141213121220.log 200.111 17.0955
20141213123222.log 204.693 15.8059
20141213124223.log 206.954 15.0653
20141213124413.log 207.387 14.9155
20141213125414.log 209.597 14.11
20141213130415.log 211.784 13.2452
20141213131415.log 213.943 12.3244
20141213132415.log 216.073 11.3492
20141213133415.log 218.167 10.3252
20141213134415.log 220.226 9.25457
20141213135416.log 222.29 8.11695
20141213140417.log 224.266 6.96733
20141213141418.log 226.234 5.76233
20141216133942.log 218.922 9.75789
20141217085612.log 152.969 14.8317
20141217100225.log 168.349 18.5558
20141217101225.log 170.75 18.8633
20141217130412.log 211.278 13.2343
20141217131413.log 213.442 12.3247
20141217132413.log 215.571 11.3636
20141217133414.log 217.668 10.3516
20141218083059.log 147.368 12.6457
20141218091101.log 156.227 15.8484
20141218141058.log 224.992 6.26118
20141218142058.log 226.94 5.04364
20141219072630.log 134.022 5.63214
20141219074631.log 137.992 7.992
20141219082632.log 146.298 12.1571
20141219083632.log 148.454 13.0714
20141219084632.log 150.641 13.9309
20141219101402.log 170.921 18.8268
20141219102402.log 173.333 19.059
20141219103402.log 175.755 19.2201
20141219115406.log 195.074 17.9342
20141219124407.log 206.606 14.9142
20141219130408.log 211.032 13.2759
20141219131409.log 213.194 12.3741
20141219132409.log 215.329 11.4175
20141219133409.log 217.424 10.4131
20141219135410.log 221.563 8.23551
20141220081006.log 142.73 10.4753
20141220082007.log 144.834 11.4791
20141220083007.log 146.971 12.4315
20141220084007.log 149.136 13.3289
20141220094010.log 162.753 17.484
20141220131053.log 212.381 12.7045
20141220132054.log 214.531 11.7662
20141221080900.log 142.418 10.3112
20141221081901.log 144.514 11.3209
20141221082901.log 146.632 12.275
20141221083107.log 147.097 12.4759
20141221084108.log 149.259 13.3688
20141221084522.log 150.193 13.7336
20141221090523.log 154.629 15.2995
20141221093524.log 161.511 17.1992
20141221094524.log 163.856 17.7041
20141221095525.log 166.226 18.1426
20141221100526.log 168.614 18.5127
20141221134536.log 219.577 9.28772
20141221135536.log 221.614 8.18213
20141221140536.log 223.617 7.03369
20141222092155.log 158.273 16.3835
20141222094157.log 162.928 17.5123
20141222140900.log 224.195 6.6915
20141224125059.log 207.602 14.5723
20141224133102.log 216.263 10.982
20141224135103.log 220.405 8.87634
20141224142104.log 226.381 5.3791
20141225100647.log 168.464 18.5379
20141225103648.log 175.695 19.2395
20141225105650.log 180.559 19.3509
20141225110650.log 182.997 19.2983
20141225113653.log 190.257 18.7107
20141225120654.log 197.402 17.4912
20141225134320.log 218.739 9.78161
20141225135320.log 220.79 8.69505
20141225140320.log 222.793 7.57239
20141225141321.log 224.779 6.39888
20141230072636.log 132.856 5.18528
20141230073637.log 134.811 6.4092
20141230074637.log 136.799 7.59397
20141230075638.log 138.815 8.73357
20141230083641.log 147.214 12.8259
20141230115651.log 194.479 18.3087
20141230123653.log 203.819 16.0828
20141230125654.log 208.334 14.5899
20141230130654.log 210.543 13.7566
20141230131654.log 212.728 12.8646
20141230133655.log 216.991 10.9248
20141230134655.log 219.075 9.87841
20141230141656.log 225.132 6.46604
20141230142656.log 227.088 5.24405
20141231104641.log 177.372 19.6154
20141231140650.log 223.062 7.7773
20150101135634.log 220.933 9.06247
20150102130951.log 210.982 13.8379
20150102134954.log 219.51 9.9193
20150102142955.log 227.527 5.24393
20150103072717.log 132.454 5.31017
20150103073718.log 134.41 6.5425
20150103080719.log 140.488 9.99875
20150103101527.log 169.418 19.2324
20150104081521.log 142.006 10.8869
20150104082521.log 144.086 11.8937
20150106081239.log 141.152 10.7056
20150107075717.log 137.871 9.0897
20150107081719.log 141.981 11.2607
